-- A B sel_fn Y Z
b526e025 05fa753e 5 00000001 0
938c87db be29b320 9 2da534fb 0
86bac051 b4df3452 a 000021ae 0
0741fb9f 8123efab 7 00000001 0
9e15cae0 94bcc74f 8 0aa90daf 0
b9a32d6f ab2ea254 8 128d8f3b 0
0b726f8d 0dc0d3ec e 0940438c 0
8ad83ad2 10f19588 9 9a29af5a 0
1ea52b9c 8630057e c 9eb52ffe 0
04bf862d bd5727a0 5 00000000 1
956cc8d1 b7b4194a c b7fcd9db 0
26b8116b 3379e61f 6 00000001 0
1266e7f3 00722ef1 d 1276eff3 0
a5c03710 09711ef5 f 01401610 0
9b10f7fd 2c417f78 3 fd000000 0
34fca9bb 8ebe10bf a 00000000 1
aa4d863e 99e2ada2 4 00000000 1
b445c63e ad2a9004 5 00000000 1
2b0ba519 3ad2d093 7 00000001 0
8f17a6dc be211acd f 8e0102cc 0
b3c4ce2f a1d135ee 4 00000000 1
8dc2964f 3094bd3c e 0080940c 0
27ba720c 8cf832f6 8 ab4240fa 0
05708f9a 1cb4a8e1 6 00000001 0
3de32ab2 bbc9c45a 5 00000000 1
1929f3dd 0aca4605 8 13e3b5d8 0
1fac8f9c 183f42a8 4 00000000 1
86a0999e 89b72123 5 00000001 0
22c44906 ab85a5a8 e 22840100 0
2d3a614c 3fb7b83e 4 00000001 0
994d05a6 abb6c306 d bbffc7a6 0
045120dd 2d2322e5 2 8a241ba0 0
9afab117 8f76b51a 6 00000000 1
376f8cdb acfeacf6 2 36c00000 0
07a68a9f a707b4ad c a7a7bebf 0
03bb5741 226a0f82 1 e15147bf 0
a12a531f a7f6bd05 d a7feff1f 0
218f9cec 3bfc4c67 9 1a73d08b 0
3e4a064b 8937dbab 7 00000001 0
27c47896 8f48a076 b 0000009f 0
0bbac67d 2915259a 7 00000001 0
13d63e90 0ef15538 9 1d276ba8 0
9a539bbd a50381e6 f 800381a4 0
22ba8eb7 0cbb46bd f 00ba06b5 0
22af35d5 3504ddf1 a 00001157 0
11c62256 1f4502f3 4 00000001 0
3692d68f a8e001cc e 2080008c 0
1db811f9 28174f71 d 3dbf5ff9 0
179bb469 3d29ab57 9 2ab21f3e 0
8f95d355 a2eeefc5 a 047cae9a 0
20ce5763 0895653c 0 2963bc9f 0
839bf1d7 223d09a0 0 a5d8fb77 0
25bc78b7 27c9cada 0 4d864391 0
be3c1478 aef7cd75 4 00000000 1
262b1b9a b67f24b5 1 6fabf6e5 0
3da8d1e0 32f2696b c 3ffaf9eb 0
8028b854 b8551112 1 c7d3a742 0
ac20b00a ad2491a8 3 20b00a00 0
2cb33c53 ba68d2bd 6 00000001 0
0fc586de 36546465 9 3991e2bb 0
942d2108 185a7431 0 ac879539 0
b8686582 9abaf153 a 0000170d 0
2ff9c0a7 940d3f95 e 04090085 0
22592049 8a6f832a e 02490008 0
05be2b2a bf0fac4e b 000016f8 0
b6e3e190 26644780 9 9087a610 0
16e25f23 b733e11b b 00000002 0
a7c889eb 02f7643e 0 aabfee29 0
2c0fc13e 1584d5ee d 3d8fd5fe 0
829cec67 a3384346 b fe0a73b1 0
b886ca87 8f6d8aff d bfefcaff 0
2b9711d4 39172c29 d 3b973dfd 0
b44af8cd 156dc2d4 3 8cd00000 0
1d04ba4d a6df7903 1 7625414a 0
863ce5bd 9975c32a f 8034c128 0
b920de81 9d6e9ed0 4 00000000 1
b063d885 8092650a f 80024000 0
17c40a62 88da32dc 0 a09e3d3e 0
b0bc7b1d 002d3e6c 4 00000001 0
a7faa148 1222de17 7 00000000 1
380f6791 2edb8030 c 3edfe7b1 0
2724ffad 98e91c77 9 bfcde3da 0
be65d2df 0b395165 3 ccba5be0 0
bbf19107 b31589b4 4 00000000 1
a1da823b 11040d04 2 1da823b0 0
9b24606d 028f25f7 8 99ab459a 0
28a6c4e1 8d42e1b5 2 9c200000 0
26a6790d 923dbc56 f 02243804 0
ba5eafc0 a5e1fb33 c bffffff3 0
9d1e279d b3b93a39 f 91182219 0
b682219b 9fd22367 0 56544502 0
98cb6848 8e18a1f7 4 00000000 1
3f987573 0057bd5f 6 00000000 1
b01c14c9 bc85244d 2 82992000 0
2a340e5f 9acfae9b 6 00000001 0
b1054cb1 0845a37e c b945efff 0
065d6316 1be14b71 c 1ffd6b77 0
11c4a611 3e26c038 6 00000001 0
b7f930d5 159eb974 0 cd97ea49 0
366606f5 a236e399 d b676e7fd 0
8ff25474 1dc30721 f 0dc20420 0
39e6287b 9eee52e8 6 00000001 0
9bf445b7 1fde0242 7 00000000 1
ac8dc266 060a08d9 7 00000000 1
35c1a443 00d5aec3 a 06b83488 0
96a7ca7d 196ca578 6 00000000 1
05347eca 3fc635f0 1 c56e48da 0
af651d21 a17f9110 c af7f9d31 0
b1304c3a 09f6ca54 5 00000001 0
03555ccb 1cbcbfa6 b 000d5573 0
abda441d 24245eaf c affe5ebf 0
247fec80 990da9e7 f 000da880 0
2594ae6e 83143ec4 8 a68090aa 0
17cf2d5d 93e6dd92 a 000005f3 0
885eb485 97faa6e4 7 00000001 0
3015a9c2 99174ac3 1 96fe5eff 0
324c03f2 9adcf386 3 9300fc80 0
8e96a8c5 0a66fcb8 0 98fda57d 0
81f90158 25bffc50 3 01580000 0
bba4d2f9 0b428bda 7 00000000 1
32f12cae 270cb656 c 37fdbefe 0
1f7d2db0 03d31c30 2 2db00000 0
8a25016a b838df7e 9 321dde14 0
3c2dcc34 95f17691 f 14214410 0
b3b15c7f 275a494a a 002cec57 0
8cf23eba bca28c25 6 00000001 0
3b481745 26fa6b72 c 3ffa7f77 0
86118cef abd04b19 5 00000001 0
bfc3e191 0707c71c 0 c6cba8ad 0
01ef7e76 aa126894 1 57dd15e2 0
307746ad 3c856190 1 f3f1e51d 0
9c8f25b8 9194f74a 0 2e241d02 0
8ffdfffa 3b0d49b6 d bffdfffe 0
be88a1be af2a1b47 2 4450df00 0
ac5e9554 a40645ca d ac5ed5de 0
8ae3ea22 1fcd3abf 2 00000000 1
bf8a9e98 bae9feff 2 00000000 1
b11ac438 9ce60110 e 90020010 0
854612da 0cb1570e f 0400120a 0
b504caef a6da3433 0 5bdeff22 0
0cc0c12c b20e17e6 4 00000000 1
3a164b29 b3788e4a e 32100a08 0
2c372408 b0c0efef e 20002408 0
2e02ac79 3b03541b e 2a020419 0
8c170bb7 27ef3dac 4 00000001 0
3870427e bab28e8d 6 00000001 0
0544ed4d 0e159b93 5 00000001 0
82034561 0eacf085 f 02004001 0
933ccb14 3caff976 b fffffe4c 0
9cafe018 278adbb2 6 00000000 1
a6ee7879 be716add c beff7afd 0
81e1517c 20ae7630 c a1ef777c 0
824c3ed7 3870ba12 b ffffe093 0
a09a9958 a4bea807 6 00000001 0
36a8f1b9 3d5755db 9 0bffa462 0
be69a4fb 24c8f2ec 2 9a4fb000 0
31242065 0b3e6409 2 4840ca00 0
a18576ec b49fb7d3 d b59ff7ff 0
388197d3 09883571 8 3109a2a2 0
013aebd9 2c3c7534 0 2d77610d 0
a6dda355 3b9e97e7 1 6b3f0b6e 0
bb3e92d9 01f2260d 2 d25b2000 0
07e8bba3 b0232147 8 b7cb9ae4 0
b140a18a b47d7d0a 0 65be1e94 0
215e6b07 21bf9ac7 d 21fffbc7 0
219fecc8 95f89059 7 00000001 0
0f91ead6 2f60bdf1 8 20f15727 0
30d48ce2 220c7a13 6 00000000 1
13123182 ad450d21 4 00000000 1
96b98095 09974643 3 b5cc04a8 0
367e21e5 bef2475e 0 f5706943 0
a37b4c43 0d6a12f3 7 00000000 1
1cc19b93 93b55bd8 4 00000000 1
bba2cb15 2799d7c0 f 2380c300 0
1820a155 2bffe383 2 c1050aa8 0
a9403e0b 283031ea c a9703feb 0
a983f624 2589177f 7 00000000 1
19e4a928 96199ee2 3 6792a4a0 0
3da4422e 16c58948 3 a4422e00 0
bdb6d13d 204312b0 7 00000000 1
b2d858d9 a7d91dec 2 858d9000 0
a38bbd00 3d06a0db 1 66851c25 0
ae5265ba bfd387b3 6 00000001 0
08968a6e 072bcd8f 4 00000000 1
12dbe9f2 b0aac200 f 108ac000 0
07d2c5b0 bfc8e235 1 4809e37b 0
0d185c7f 32ea7954 9 3ff2252b 0
0df9c8f3 238c1bbf 4 00000001 0
2a9dbf5c 23df5db5 8 0942e2e9 0
9a7214f8 80078a4f f 80020048 0
992d607f 3d76aff0 3 607f0000 0
0c3b9849 32b4d106 6 00000001 0
82971919 8ec27a69 5 00000001 0
ab8f0f4f 3f93721b 2 78000000 0
87d97eae 3eb4e471 d bffdfeff 0
357599c4 005c4690 6 00000000 1
2b3ff0d3 8036fb69 8 ab090bba 0
8e47e232 9765fa17 e 8645e212 0
0d598bb4 3f6a370e e 0d480304 0
929dd27c 1a73330b a 001253ba 0
03c49abb 1b8476c1 8 1840ec7a 0
abe15cac 99cc4389 c bbed5fad 0
8ae87fe5 1f45cbb7 c 9fedfff7 0
3e44e975 871bac07 a 007c89d2 0
2cde73a8 03c72843 c 2fdf7beb 0
a1971627 15aba900 7 00000000 1
37e1d67e 85dc0ec3 1 b205c7bb 0
04f4220e 82bfcc8d 0 87b3ee9b 0
0dc5586d 9dfdaad6 a 00000037 0
8708cf72 10e79207 a 010e119e 0
bc094c22 25476ddd b fffffffd 0
192c1eac ac45bcfe 1 6ce661ae 0
b14ae27a 87b46401 0 38ff467b 0
1b463a12 afe77e2c 9 b4a1443e 0
10f11894 bc63112c 8 ac9209b8 0
a901b7a7 a567182f a 00015203 0
a10ba5b7 80564db8 0 2161f36f 0
368011ce 203be331 d 36bbf3ff 0
20807fb6 a6ad60c2 0 c72de078 0
835b7275 8d26e9c2 e 81026040 0
84c8eb9d 23190a65 2 991d73a0 0
be54b475 3c673a91 4 00000001 0
3696d5c2 a7c0e247 4 00000000 1
9ad16516 9a66c1c7 e 9a404106 0
abdc2796 af8eef3a 5 00000001 0
3abca3f3 bec0da36 7 00000001 0
bbd552c7 8075bae7 6 00000000 1
142a91bf 3c9d9994 9 28b7082b 0
06ce2096 3ecd70b7 6 00000001 0
099b9e94 397cf478 d 39fffefc 0
8f825168 bb9ee179 a 00000047 0
2e7986ca 88ae05e1 7 00000001 0
370d8bfb 23431d77 6 00000000 1
0eec3997 29d15b5a 0 38bd94f1 0
b69154d0 8067ccf1 c b6f7dcf1 0
32dd4edd 17daf227 1 1b025cb6 0
bac295a2 1120933f 6 00000000 1
9f8f29f6 1c3b6301 f 1c0b2100 0
b5c671f9 9852ab08 2 c671f900 0
b9dafd5a 9edee13b 3 d0000000 0
1ac8914a 0d689a49 5 00000000 1
04b7a774 37e87f75 4 00000001 0
8cff781f b6d66b29 5 00000001 0
b45fe308 23216f27 4 00000001 0
a0c0512e 019dd2cd c a1ddd3ef 0
15fb95e9 a738799c 6 00000001 0
2996f47f b09ba99f a 00000000 1
865db700 140c9048 4 00000001 0
bb485dde 320f20d1 8 89477d0f 0
080060ca b3655774 1 549b0956 0
05ec6d54 305d46fd 7 00000001 0
a109bfd9 2e8549ae 7 00000000 1
96520b5e 34c8c232 8 a29ac96c 0
adc934fc 8949d390 3 34fc0000 0
8c09f014 9762b7cf 3 f80a0000 0
2ab7c917 b07ddeb0 1 7a39ea67 0
8d98a782 a71fbaf4 9 2a871d76 0
8aa384da 3d477fd5 b fffffc55 0
31684ee6 97a1d87f d b7e9deff 0
a25b70d2 82adafce 2 dc348000 0
3f35bd89 bfe003c6 f 3f200180 0
b2b88285 844a6f76 d b6faeff7 0
21d7a968 357a518a 1 ec5d57de 0
0ca519a3 9e6946cc 4 00000000 1
2458aaf8 bc1da6d9 6 00000001 0
18387c6b 37f1842d 9 2fc9f846 0
2f839ca0 3f1457e3 7 00000001 0
18c00cd4 9593cc0c 3 00cd4000 0
361b81b9 849d36e3 8 b286b75a 0
0326c81b 1bd43abc d 1bf6fabf 0
1e1ab63f 275f55a8 e 061a1428 0
0aaf98c8 82b8e12c c 8abff9ec 0
04797374 89e6cc6e 0 8e603fe2 0
91cda748 b9e792a4 7 00000001 0
3f12071e 12aec704 7 00000000 1
994d37a7 87411ce1 8 1e0c2b46 0
8564c22e 34f17567 f 04604026 0
3fc7531b 8c056d25 0 cbccc040 0
350f70f2 02f95764 5 00000000 1
0de78a4f 1dc82413 a 000001bc 0
01fd7220 2a71c2e3 e 00714220 0
11ae99bd 08907f76 4 00000000 1
14688b52 b1b50ade 4 00000000 1
9380b378 26931c3a 8 b513af42 0
a7e538d9 3ec96134 4 00000001 0
a36aba25 883bb445 6 00000000 1
b6d2bbec 8558ffde 9 338a4432 0
83aa5f26 b425f2f8 6 00000001 0
24b8e598 9891662c 9 bc2983b4 0
b71fea1f 1af29872 4 00000001 0
381ede03 b0751513 a 00000703 0
1f040254 bdf836f7 9 a2fc34a3 0
11a2bee3 1fcbc1b1 b 000008d1 0
82bab29e 01da2f07 7 00000000 1
b225952d 28787f99 d ba7dffbd 0
bf5c1edf 3f507e05 a 05fae0f6 0
1512916c 37affc82 f 15029000 0
9a1f8e43 2479c87c e 00198840 0
2dcd274b 82071d67 6 00000001 0
b16a17b0 2831946d 8 995b83dd 0
80946c26 a118b148 b ff80946c 0
33f9f62d b7023929 b 0019fcfb 0
9f2b79c8 a0fd8ffc b fffffff9 0
042ee12e a679f199 4 00000000 1
10c3c5a3 0392ebe0 2 10c3c5a3 0
2726c903 27b18b0c d 27b7cb0f 0
22cf0e16 8a0ceb46 b 008b3c38 0
bbf019e3 2d11ade6 7 00000000 1
956406b0 3b0adae7 1 5a592bc9 0
9ec5b840 095a06bd f 08400000 0
12261967 03f704d3 0 161d1e3a 0
36dad76d 3f45f5c7 6 00000001 0
2796b634 a81a7f88 9 8f8cc9bc 0
22e6a7bf 1108afae 0 33ef576d 0
a50193a8 9671af3b 1 0e8fe46d 0
b13cb3a8 a63cb61e 8 170005b6 0
b42ec246 20f6c782 d b4fec7c6 0
b3d6ab87 9cc90fa8 4 00000000 1
363d59c3 949e6dcd d b6bf7dcf 0
b764e61a 968afdd7 6 00000000 1
8028228d 80ff3d7d c 80ff3ffd 0
960d0fd8 998eed83 c 9f8fefdb 0
a184bf16 012c6c79 3 2c000000 0
b320f59f abe9d0c6 5 00000000 1
ad404fdd 34eabb8e 1 7855944f 0
0cbc9776 3e37cb25 2 9792eec0 0
10392a2f ba15c7fe 5 00000000 1
a2dace56 810f67c2 0 23ea3618 0
a4a74d0e 0195cc08 a 00a4a74d 0
a0ffdc35 b1b646bd 7 00000001 0
ab7898ca b9fc7254 f a9781040 0
a85747cb 09a11a03 a 150ae8f9 0
2dd93d20 a36f2485 7 00000001 0
33a4fdc5 1251bb40 f 1200b940 0
0943270c 9d2a3f5c 3 c0000000 0
3d146765 b44debb9 2 ca000000 0
1793c28d 848a6735 5 00000000 1
379e8ac0 3412bc25 c 379ebee5 0
0ac0f601 b82be5c7 8 b2eb13c6 0
ba456b13 3afe7ded 7 00000000 1
38eb23ee 27469667 a 0071d647 0
93134ff1 0c44485d b fffffffc 0
01a80d54 ae128044 4 00000000 1
02736833 27315b9d d 27737bbf 0
b080f1d2 03a4e655 2 3a400000 0
850579e7 201b5096 c a51f79f7 0
12c2944e 944edaee 6 00000001 0
3ab98ac3 b06de012 0 eb276ad5 0
27d9a9db b52dd935 a 0000013e 0
8da7b4bb ac7decb1 6 00000001 0
ab95fe12 123018f4 7 00000000 1
21a440cb 3ad83285 9 1b7c724e 0
00d3931b b786517d b 00000000 1
3747b61e 1ce7dc81 a 1ba3db0f 0
81258516 8a02fe8b 2 2c28b000 0
b1ad5e0a 9bed12f3 f 91ad1202 0
333acfad 8f9a0675 a 00000199 0
3ddbdda6 07702fc6 5 00000000 1
addc91e5 39cdeb11 2 23ca0000 0
9d5c83e0 2b52743d f 09500020 0
80825f97 9f6a8703 f 80020703 0
b333d759 83f1b169 c b3f3f779 0
24926914 21b04f82 c 25b26f96 0
1303597b 05ce9f84 e 01021900 0
039610df 827d36b3 4 00000000 1
1dc36c7b 944ef1f9 3 f6000000 0
8eaf3c83 1de02d21 e 0ca02c01 0
161c6046 0860dcc4 f 00004044 0
82d518ec 30e7f106 f 00c51004 0
30126e95 b3d60d66 e 30120c04 0
8b747bd5 0248e85f 7 00000000 1
9c48708f 2973dcaf 0 c5bc4d3e 0
8a24d320 8700befd 2 00000000 1
16cae8c6 03cd87fd c 17cfefff 0
26608032 25c6fc0f 7 00000000 1
3bed2a77 36375fcb a 00077da5 0
3327e0b3 afac4ae5 1 837b95ce 0
3b66034e 2b13dea4 0 6679e1f2 0
bab86f3c 2b0858cd 9 91b037f1 0
1a73e71f 1a1256cf 8 0061b1d0 0
219325d2 0f49fe64 4 00000000 1
397ac558 9ee5a657 2 ac000000 0
9a28714f 3509fcac f 1008700c 0
2823f611 363bf83b 6 00000001 0
99a65ff9 ad41f6c4 f 890056c0 0
24ab2108 2ac956e3 5 00000001 0
2c8d96fd 95348f1f e 0404861d 0
17a5b2ed af6f8737 e 07258225 0
36bed18d 3a35bb7f e 3234910d 0
9d33f5c5 2d8e9ce2 a 274cfd71 0
9edd09c9 a11c8d2a b ffe7b742 0
1f1dbf55 37c547ae f 17050704 0
280f3ebe 30cc630c 6 00000001 0
9117f4c8 2179cef7 5 00000001 0
17266423 bdde51ca 4 00000000 1
b0ea6d1a baa55baa f b0a0490a 0
3976b79c 2f1e11ea 9 1668a676 0
27f113e6 a584e24b d a7f5f3ef 0
83bacca4 8f1c06a1 2 07759948 0
ba02a4a7 30de85f2 2 929c0000 0
8e746b77 86c87fea 9 08bc149d 0
375d7a9a 9dc8fa48 a 00375d7a 0
bb74b08c 179ec8e6 f 13148084 0
93f553af 02dd8de3 b f27eaa75 0
153d817c a1956fc1 0 b6d2f13d 0
3e091556 21046f95 a 000001f0 0
851c3979 398f8e8c 3 c3979000 0
b884b013 bf02c08c 2 4b013000 0
17f6b28e 38cdc4ce e 10c4808e 0
8364bb0b 893dea51 4 00000001 0
bbedda69 a45997b2 4 00000000 1
a4e65b16 8a164b0d 7 00000000 1
b206a062 bd26a328 3 06a06200 0
19eb10f7 1d8ceb94 1 fc5e2563 0
27400ff2 1e27784b e 06000842 0
3aa030c4 8fdfea30 6 00000001 0
8f8c25df ad4e45eb e 8d0c05cb 0
a21398ae aaffe223 7 00000001 0
3b492fc1 b6fd860f 0 f246b5d0 0
8c064fa0 19dc2b49 a 00460327 0
3cf71cb5 b919f7c4 5 00000000 1
8bdf946c 829fa673 8 0940321f 0
1906e351 937eb6a1 8 8a7855f0 0
225a248d 9214ba4c 7 00000001 0
2cbb543b af54d9bb 7 00000001 0
35082d9a b29979e1 a 1a8416cd 0
8340a9ed 1d42ba02 0 a08363ef 0
2b8786ff 9811f92d 3 f0dfe000 0
b927b58e 942e6441 0 4d5619cf 0
a1cb099e b07fe530 7 00000001 0
1eb27de8 06da5d36 9 186820de 0
9d83b162 adf3dc7c 4 00000001 0
885cd0e7 1e474e7a b ffffffe2 0
ae5ab8e8 8ab61243 8 24ecaaab 0
334e791c 316a0134 8 02247828 0
bd4821ca 23a84941 f 21080140 0
9861503c b85f47cc d b87f57fc 0
b6eaac3a 96f2fd1c d b6fafd3e 0
84a614a1 a1e93214 0 268f46b5 0
9775aedd 86407015 0 1db61ef2 0
995a8b1b 85a4afa8 0 1eff3ac3 0
945d9c37 33e51815 0 c842b44c 0
b76fdfce 94002a74 f 94000a44 0
988e5cff 3965e182 5 00000001 0
1bdfb7c4 86a0b798 e 0280b780 0
2b950f2f 93ff3f5e b 00000000 1
9a29ca75 9884cf2b b fff34539 0
92d4bfbc 00f0d79d 0 93c59759 0
39727586 1cc71b8a 0 56399110 0
2d5de92a a75697b7 7 00000001 0
86e45e5b 8d9aef32 f 84804e12 0
9fcaf37a 209ff0e1 d bfdff3fb 0
bd112c5b 8aa1dc5b 7 00000000 1
84fcb233 9aaeb46f 6 00000001 0
b42483f6 1e6f53cf 1 95b53027 0
ab4e7b60 97ebd84f 0 433a53af 0
31f1fdc7 2ea128a7 9 1f50d560 0
9360fee6 819c209d 3 c0000000 0
aaed2e6b 1899ed03 7 00000000 1
16588f81 9fff16c3 2 b2c47c08 0
1e54c2ed 1689dfd0 f 1600c2c0 0
b4eca73c a1cc279e 8 152080a2 0
37e10ac7 05162636 b 000000df 0
bf5aa74e 31cb8999 d bfdbafdf 0
107ad3f3 2980db4d d 39fadbff 0
afe7b796 356a78cf 0 e5523065 0
0d8d0e7d 92e6af22 b 0363439f 0
1e3ccc3a ba3fba81 5 00000000 1
03bc1498 86bbea35 1 7d002a63 0
098a4809 1aa5028c e 08800008 0
2dcb0121 815044fd 4 00000000 1
01fb80af 029c14a0 a 01fb80af 0
83be8213 16cdab0c 1 6cf0d707 0
1faca5ea 86572068 c 9fffa5ea 0
904a5d63 97b6c7eb 0 2801254e 0
1de6c731 b2ecb2e8 b 001de6c7 0
93cb3e2f 2d942fcd f 01802e0d 0
85157b99 afc8f8ae 9 2add8337 0
9c31a54f 191e28a2 f 18102002 0
b47d95d1 b49ac3b9 d b4ffd7f9 0
004353a5 3ac89838 f 00401020 0
be64e291 8b9aa519 d bffee799 0
aaea85c3 0146fa5f 3 80000000 0
8deec1d6 1b253db8 d 9feffdfe 0
20382fb9 27298e5d b 00000001 0
1da68bb1 8bc802d0 e 09800290 0
aa03e530 b96b350a f a8032500 0
0835afa6 98f761ef 1 6f3e4db7 0
ad1f0d18 9c4d5169 5 00000000 1
1a7de9c5 bacf45a4 8 a0b2ac61 0
1237b995 129ef3a5 1 ff98c5f0 0
2ed852fa a65ac726 5 00000000 1
36a9cbf1 950c3ab0 f 14080ab0 0
24f18a58 a7f62a8e 8 8307a0d6 0
899441b9 b3cc3afb e 818400b9 0
a8444b42 a092ea82 4 00000000 1
98ba7353 b49168fc 6 00000001 0
10df88be bab16564 a 010df88b 0
26bdfda9 89511486 e 00111480 0
26cfa857 870f015c 5 00000000 1
397a57c6 8206fe15 4 00000000 1
1804c75c 232825db 3 e0000000 0
ab570272 a43f89a0 9 0f688bd2 0
2b532360 9cc18864 8 b792ab04 0
358fa32d 86e39a92 7 00000001 0
10ae5b3b bdde4fc2 1 52d00b79 0
ab888520 9739caee 1 144eba32 0
876c5806 93974bf6 1 f3d50c10 0
0074b9db 2ddc83de c 2dfcbbdf 0
9706d5cd 2075c27c 1 76911351 0
38a2b8f7 3eef100a 0 7791c901 0
2d56c9dc 0809e5bc 4 00000000 1
9eec38f4 206ea08d 1 7e7d9867 0
0704d8fe 25974bbf 1 e16d8d3f 0
04e7dcf0 843e7b70 4 00000000 1
3b6ec209 b2d9eb85 2 6dd84120 0
01978a06 010db6e1 b 00cbc503 0
04f8a17e 2df7a18c 7 00000001 0
166f1477 85ed8eab 9 93829adc 0
914cd137 96e24b65 3 299a26e0 0
a5aec7e8 3ff51998 3 e8000000 0
b2ba734e 2c7e7f6e 1 863bf3e0 0
3f2d6763 b80efac1 7 00000001 0
9c8281c1 910f910e 3 a0704000 0
01d2f0d3 2891aef9 7 00000001 0
0f769489 338942f8 f 03000088 0
30170536 26f7d8db c 36f7ddff 0
2afc0618 9075106d 2 80c30000 0
250721bf 25947e1f f 2504201f 0
201f4275 9956a379 e 00160271 0
1d6b2797 2be49739 b 0000000e 0
30fc6f77 1c833189 6 00000000 1
8dc6d700 999b2e84 e 89820600 0
9e75ccca a987e102 6 00000001 0
8a15b00c 81342656 6 00000000 1
90b838c8 2f5dd999 3 90000000 0
9f396e21 0a8425d1 b ffffcf9c 0
8cbdc342 b9c7869a 5 00000001 0
30375cfd 04453257 9 34726eaa 0
119ab1d5 8a512d64 f 00102144 0
3a886501 bd56afe4 e 38002500 0
2c05e162 17921bc0 c 3f97fbe2 0
9cca31e6 92f4f4ba 8 0e3ec55c 0
951c96b3 0a6a28de e 00080092 0
2258922c 80d5dd23 f 00509020 0
b31a2487 a518e121 b d98d1243 0
b468eedb 92bd6a3c b fffffffb 0
b746df6c 2328c800 5 00000001 0
2e5cd27b 84aa0300 d aefed37b 0
040fb833 1b49f49c 9 1f464caf 0
b733b342 0f73790b 8 b840ca49 0
a8ce93ec 8559bce8 d addfbfec 0
350ce7ef bb340acd b 0001a867 0
3e73249a 06f4f873 7 00000000 1
39d8a7cc 3fa4d32d 0 797d7af9 0
30d3b02e 1809ef31 6 00000000 1
b17b85ca a3f6fac2 1 0d848b08 0
ac176b68 b71199d3 5 00000001 0
a9b5cbb5 1c952130 c bdb5ebb5 0
a43ee4a7 099e4094 e 001e4084 0
8b4dc5f0 3ca5e54d 0 c7f3ab3d 0
a681fed5 32271287 4 00000001 0
1222413e 9bddc114 a 00000122 0
80bebef3 1f07d2c0 1 61b6ec33 0
86ce837e b6d62a99 6 00000001 0
32f9beec a8cf01f8 d baffbffc 0
38d33567 38a9a575 4 00000000 1
396686bf 071bca78 3 bf000000 0
0326d6a8 b049b861 4 00000000 1
b3376918 bb5eb969 1 f7d8afaf 0
87623ef1 1a94a0fd 1 6ccd9df4 0
22eddaf6 98074beb b 00045dbb 0
0cb1add7 0bddb3f7 d 0ffdbff7 0
a8aea5f0 88a9d771 3 4be00000 0
97f2d094 0829aa0a f 00208000 0
0d8adb2f bce72c58 3 2f000000 0
2974c004 a9193a90 1 805b8574 0
2880a144 9beb4eb9 3 88000000 0
9af89a7d b2ff629b f 92f80219 0
ba72e957 b97e14e2 d bb7efdf7 0
25b2d44f 185aa3d2 a 0000096c 0
3e075868 2fc9b3f7 c 3fcffbff 0
ac1d770b 8b77f080 2 ac1d770b 0
baf84f9b 0a0892b0 8 b0f0dd2b 0
06a51ae4 89a772a0 5 00000000 1
9a040ac0 9c7eef2b 0 3682f9eb 0
8c463eca 2a1d71c3 4 00000001 0
27485699 0535d049 3 90ad3200 0
2950930f 9416e024 3 950930f0 0
0c6f788d a71b2c19 2 1a000000 0
16bb9fb0 3ca09951 7 00000001 0
3ac797c7 063a742f 1 348d2398 0
337a3a9d 93e22d1e 1 9f980d7f 0
a6e35bf6 07ee2606 4 00000001 0
a76e5397 04783fed 2 ca72e000 0
04131823 050960ba d 051b78bb 0
9cbd8276 3d13256d 6 00000000 1
85ac485a 1e0b2ab7 2 2d000000 0
885b51fb 951c7557 a 00000110 0
369af71d a2a75137 f 22825115 0
b5c54479 a0d101dc c b5d545fd 0
1d76dbd5 25ef70a7 e 05665085 0
9c15d8f5 9fe55db8 0 3bfb36ad 0
0be23dc1 8fa41042 0 9b864e03 0
b39d3698 834d942e 1 304fa26a 0
8b9d6f10 a9481c88 d abdd7f98 0
1b69e978 bb8ae751 b 00000db4 0
025d1a29 92ad4361 a 012e8d14 0
a52b9734 0055696c f 00010124 0
07142f4e 3dda11fe 1 c93a1d50 0
9c2392cc 35412465 9 a962b6a9 0
27ee9322 154607e1 4 00000000 1
18c58eba 9c7bce6e 9 84be40d4 0
2ffbceb5 89846b97 8 a67fa522 0
36f72948 19775564 1 1d7fd3e4 0
3e05001e 3c9c5cf5 b 000001f0 0
97e4027f 00ea62a8 9 970e60d7 0
1bc9b6d9 2169360d 5 00000001 0
82824453 02346f59 b ffffffc1 0
255b515a b47f170d 5 00000000 1
3efdd4d9 bfcda537 6 00000001 0
9c1b698f ba324ac0 e 98124880 0
b9759f9d 99162a96 4 00000000 1
1f537450 3275d874 2 45000000 0
1777ce7e 9f65282c a 0001777c 0
1e1ffbf0 3f78656e 6 00000001 0
01dbbb9a 1af0659e b 00000000 1
12f5605f 96f2cb2e 3 5817c000 0
39bfad22 09aed617 4 00000000 1
20a957ab 08475135 b 00000105 0
ab7a5940 8b07e853 0 36824193 0
a38f97ba b2ad1811 0 563cafcb 0
9d80134c 1eb675d7 a 0000013b 0
1ed8ae90 3ec5c8cc 2 8ae90000 0
9b5d2d02 23f1d360 e 03510100 0
06f3288e 1614d721 4 00000001 0
1df75579 8782d8a2 2 77dd55e4 0
